Banjara,English 
saliya bhunkro cha,To bark
bigaadmat,To be destroyed
keri bhi gindagi bigaad mat,Destroy
phalira bija,Seed
bhik mong mat,To beg
billa dhasro,"Male cat, Tom cat"
bijabo,Sow
mar bodi,"Wife, Daughter-in-law"
kai bado chi,"Hollow, old"
keni boja matva,"Burden, responsible"
geed bol,"To sing, To talk"
bolyama panibhar,Pot
panira boond,"Drop, Sperm"
khayera boondi,Sweet dish
bore kho,Bear fruit
boti kho,Meat
buda dokri,Old lady
budo admi,Old man
budopan seni avacha,Old age
chabaggo,To prick
chaal teek rakad,Walk trick
aato chaan,"To filter, to separate"
chaap maar deeno,"Stamp, print"
mangaler ghee chaat,To lick
chaati par laad,"Breast, Chest"
tamar chaavema raach,Shade
man ghar chaava,Desire
maro chacha,Paternal uncle
chadan mar,"Ascent, invasion"
chadamat,To cause one to climb
zami chada u:tar cha,High and low ground
chaddar vod,A blanket
u:par chedero,To climb
chadero-utarero kar,Riding up and down
chadi len maar,"A stick, a rod"
chadivaal mat ban,A back biter
man chai chei,"Rest, peace of mind"
khanochak,To taste
chak choondri dalda,A mice
khano chaka,To have it tasted
chaka chak bharari,Completely
chakachand,Dazzling effect
asa chaknachur vego,Broken into fragments
gharemi chakar cha,Servant
chakari kar,"Employee, Serve"
chakkar khan padgo,Giddiness
chakki chol,Piece of wood
chakmak bhav,Flint stone
chakor vadricha,Bird of a kind
chakra,Wheel
desera chakravarti,An emperor
chakuti kat,Knife
chhal keedo maati,Deceit
chal kapti admi hav,"Deceit, fraud"
bandi chala,Move
chalakodi vadreech,A sparrow
chalang laga,Leap
chalees baras,Forty
chalkodiro malo,Sparrow
dadera chamak,Glow
andarema chamak go,Get shocked
dader chamakeela,"Lustrous, shining"
u: manna chamkaroch,Make one get startled
chanaradal,Black Gram
chanchalman,Fickle
chanda dek,Moon
chandan rat,Moonlight
chandanghanoacho,Sandalwood
bija chank,Throw
channi,Filter
chant la,To be selected
chapakan raccha,To stick
chapayera kharch deeno,Printing charges
kitaab chapayero,To make to be printed
ghar chapero,"Get roof covered, roof of long E-Tass"
chappararo ghar,Grass roof
chapti naakera admi,Snub nose
char tangrer janavar,A quadruped
charchenda lagrecha,Snake guard
charivadeti val hai,All four sides
charmatadi chattadako,Splendor
chharo ala,"Knife, razor"
gharen chhat cheni,Roof
chat ko aa,"At once, instantly"
chatayi par so,A mat heap
chatka mat,A slap
paleer chatney,Sauce
chatuti daliya,Spoon
chatpat kaam kar,Quickly
chatpatkaranu,Hurrying
chatri cheni,Umbrella
admi chatur cha,Skillfulness
chaturbhujero,Quadrilateral
chaval kho,Rice
chavi chod ghee,Beauty
mayir cheddy,Underwear
cheenk maaro,Sneeze
cheento mar,To sprinkle
lakdi cheer,"Cutting, surgery"
cheese vasa,Articles
cheetah janglema racha,Leopard
garur chela,"Disciple, follower"
chelira dood,She-goat
garura cheli,"A female, disciple"
chellapilli vege,Scattered
chendi ma bes,Shadow
tangemaar chepaloo,Slippers
ankema cheshma ghal,Spectacles
admina chetana aanu,Consciousness
mar chachi,Aunt
bagalera chijlka ghal,The bolt of a door
chilmi peero,A fire cup of the hukka
chimat mat vaded,Nurture
tat cha chimatati pakad,Weapon to hold
u: chinaali haav,Prostitute
lattar chindi,Rag
chinta verich,Worry
jigla chintro vero,"Rag, piece of cloth"
godavar chapani bheti,A lizard
chitrakarer chitra,A painter
manera chitta,Mind
chod do ona,To leave out
man bhar choda,To get released
kayi chodi chadi chi,A girl who lost control of the elder
ghar ghano chodo,Broad
chola chol,To peel
nalar cholera,An instrument used for scraping
ice chooch,Suck
chooda kho,Parched rice
haate maar choodi,Bangle
choodivaalo choodi vechach,Bangle seller
chook go,Target missed
choole mai angaar,"Hearth, Stove"
gale par choom,Kiss
choop haari,Sharp
lakadeer choor,"Small pieces, powder"
sorapyar choot da,Change
dasara par choot cha,"Exemption, discount"
haath choot jai,"Release, released from the hand"
chootan bhara ayer dek,To get released
jaileti chootgo,To be left out
chooto charo bandho maro,"Unbound, united"
chor mat va,A thief
chor bazarer samaan,Black market
taar chora hav,A boy
ker chori hav,A girl
chori mat kar,Theft
chorichorira vate,Stealthily
chot laggi,Wound
chotti band,"Pigtail, peak"
chouda admi,Fourteen
bandira chouk,Wheel
choukasi kar,"Negotiation, Bargaining"
chouki par beto,A stool
choukidarer kaam,Watchman
kaam choupat vego,Destructed
suyi chubayero,Pricking
ice chuch,Act of liking
chugli mat kar,A back-bite
leko chukta kar,Paid up
sadera chunri,A kind of upper veil
chunav lad,Election
choono leap,Lime wash
chup ra,Silence
chup chap ra,"Silently, keep silent"
churana mat,To steal
churmo kho,Pieces of sweet bread
chutta lagad,Bidi
gundalen chutadero,Stick up
chutiya mat va,Fool
baranada chutki,Pinch
Aaj chutti cha,"Leave, holiday"
daabnaak,To crush
daabo,Close the mouth
daadaa,Grandfather
daadi,Beard
daadi,Father’s mother
daadi,Grandmother
daadij,Of every day
daado,Day
daadri,Jawar
daag,"Stain, blemish"
daag,"Stain, blemish"
daakan,Witch
daaku,Dacoit
daal,Pulse
daal,Pulse
daalchini,Cinnamon
daalim,Pomegranate
daaman,Cowshed
daana,Demon
daana,Food grain
daanaapaani,"Food and water, livelihood"
daana-paani,Food and water
daandero,Penalty
daandi,Joint of a leave
daantcheyija kon,Person without teeth
daantdhoyer,"Cleaning the teeth, tooth brush"
daantdhukero,Tooth-ache
daanth,A tooth
daantlo,Buckteeth
daar,Fear
daaru,Spirit
daaru,Liquor
daas,Run
daasa,"Slave, servant"
daasi,"Woman slave, maid"
dabari,Vessel
dabba,"Box, a railway carriage"
dabet,"Rub, run fast"
dada,Grandfather
dagalo,Hut in a field to protect crop from birds
dagga maarevaalo,One who proclaims by beating drum
dahijamaa,To make curd
dahir haandi,Curd pot
daitya,Demon
dakaal,"Show, exhibit"
dakaallaa,Visit a doctor
dakar,Vomit
dakshina,South
dal,"Heart, soul"
dalaali,"Broker, middleman"
dalago,Sunsetting
dalal,"Broker, middleman"
dalapati,"Leader, commander"
dal-dal,Falldown
dali,"A piece, fragment"
daliya,Grain broken into small pieces
dam,"Asthmatic, power"
damdi,Coin used in olden days
danda,Stick
dandi,Side of stream
dang,Stunned
dangaa,"Revolt, riot"
dangakhor,"Quarrelsome, riotous"
daniyaa,The people
dapada,A small drum
dar lagacha,To fear
dara,To have it given
daraad,Ringworm
daraalaa,Help one to purchase
daraar,Pain
darbaar,King’s court
dar-dar,"Pull continuously, fast"
daridra,"Poor, wretched"
daridratcha,Poverty
darpa,"Pride, arrogance"
darpok,Coward
darshan,"Seeing, appearance"
darvaani,Co-daughter-in-law
das,Ten
dass,"Bite, sting"
dav,Game
dava,Medicine
dava,Medicine
davaado,Give medicine
davaakhaani,Dispensary
davaali,Diwali festival
davsan,"Daysan, senior woman"
dayaakar,Kind-hearted
dayaamayaa,Merciful
dayaasaagar,Very kind
deeno,Gave
deese,Two hundred
deeso,Seen
deete,Do you see
deevaana,Mad person
deevani,Madness
deever batti,Lighting wicks
deevo,Lamp
dekh,To see
dekhadekhi,Knowingly
"dekharki, dekbhal",Supervision
deni,Loan
der,Delay
desh,Country
deshbhakti,Patriotism
deshi,Indigenous
desni,Are you not giving
dev,God
dev,God
deval,Temple
devar,Brother-in-law
devar,Brother-in-law
devaraani,Daughter-in-law
devi,Goddess
dhaan,Rice
dhaandder,To punish
dhaandli,"Fraud, turmoil"
dhaani,Eatable
dhaantli,Buckteeth girl
dhaar,"Stream of water, harness"
dhaaravahi,Continuous serial
dhaasno,Marriage without law
dhaatla,Sickle
dhaatli,Equipment to weed out
dhaatu,Semen
dhad,Measurement of cloth
dhadi,Ball
dhagad,Adultery
dhagadi,Prostitute
dhagdhag,Brightness
dhaja,A flag
dhak,"To shut, cover, close"
dhakan,"Lid, cover"
dhak-dhak,Heart beat
dhakka-mukki,"Elbowing, fighting"
dhakla-dhakli,Push
dhal,Voice
dhaliya,Drum beater cum messenger
dham,"Smoke, take puff"
dhamki,To threaten
dhan,"Money, wealth"
dhandaa,"Occupation, work"
dhando,Profession
dhan-dowlat,Wealthy
dhangaakhor,"Rowdy, quarrelsome"
dhaniya,Coriander seed
dhans,Elop
dhantli jaar,Maize
dhanush,Bow
dhappan,Stomachful
dharm,"Righteousness, religion"
dharma,"Religion, duty, virtue"
dharma-karma,Rituals
dhasge,Ran away
dhatur,Poisonous seeds plant
dheel,"Looseness, laziness"
dhikkar,Contempt
dhikkarano,Protector
dhimaak,Wisdom
dho,"Wash, clean"
dhokha,"Deceit, fraud"
dholo,White
dhonaak,To wash
dhong,"Hypocrisy, fraud"
dhool,Dust
dhoom dhaam,Show
dhoond,To have one searched
dhoondo,Darkness in the eye
dhor,Cattle
dhoraa,To cause to clean or wash
dhoti,Dhoti
dhu,Smoke
dhuk,Sorrow
dhukani,Air blower
dhuki,Be in sorrow
dhukn,"Bellow, blow pipe"
dhundalo,Dimness
di,Two
didi,Elder sister
dik,Direction
dikkat,"Difficulty, trouble"
dil,Broad-willed
dil pasand,Interesting
dildaar,Generous
dilhi,"Delhi, capital of India"
dimki,Musical instrument
dingana,Counting days
"disaal, dhakaal",Let me see
diseni,Blindness
dkaalevalo,Perceiver
dkalesaaru,"Outward, show pomp"
doar,Thread
dobariya,Fool
dobi,Washer man
dod,One and half
doddi,"Stock of cattle, cattle prison"
dokara,"Old person, aged"
dokari,Old lady
dokri,Old woman
dola,Eye ball
dola,Cradle drawn on shoulder
dola,Closed palanquin
dolak,Small drum
doli,"Big, wide-mouthed vessel"
doondo,Handicapped
door,Distance
dopper,Midday
dori,"Thread, rope"
dost,Friend
drudha,"Firm, sturdy"
drushti,Sight
drushtikon,Angle of vision
dub,To drown
dubago,"To sink, to set"
dubki,Dip
dublo-paatlo,Very thin
dubti,Bedsheet
dud,Milk
dudiya,Milky white
dukaan,Shop
dukaane vaalo,Shop keeper
dungar,"Mound, hillock"
duniya,"The world, people"
dupti,Bedsheet
dur,Distance
duraachari,Wicked
durbin,Field glass
durdarshak,Telescope
durgand,Bad odour
durupyog,Misuse
dus dus,Wail
duskaal,"Bad times, famine"
dusro,Different
dusta,Wicked
eda-beda,Irrelevant
edi,Heeld
eka,One
ekadam,"At once, immediately"
ekadi,One or two
eka-eka,One by one
ekasat,Unitedly
ekatak,Only once
ekavana,One time
ekaven,Unity
endi,Mad (F)
endo,"Irrelevant, loose (F)"
fool,Flower
fundi,Insect
funda,Thread work
futo,Broke
funn,Hood
gaadi,A cart vehicle
gaadi,"Throne, a small cushion"
gaal,Cheek
gaali,Abuse
gaban,Pregnant cattle
gad bad,Disorder
gadda,"Ass, Donkey"
gaddar,Revolutionary
gaddi,She-ass
gaddi,Wet land
gadha,Hanuman’s mace
gajar,Carrot
galeez,Dirty
galo,"Throat, neck"
galro,"To melt, become weak"
gam,A village
gama,To lose
gamak,Spread fragrance
gambheer,"Serious, deep"
gana,Song
gandha,Fragrance
gandhagi,Filth
gandhak,Sulphur
gandharv,Demigod
gandharv vidya,Music
ganero,To count
ganga nadi,River Ganges
gangaputra,Bhishma
ganith,Mathematics
ganitha shastragna,Mathematician and astrologer
ganja,Bald headed
gant,"A knot, gland"
gany,Respectable man
gap kno,To eat without talking
gapana,"Rumor, chat"
gap-gap,Quick
garam,Hot
garam kapada,Wollen clothes
garam masala,Spices
garama garam,Very hot
garba,"Womb, foetus, pregnancy"
garbapath,Abortion
garbavegi,Becoming pregnant (woman)
gardan,Neck
gareeb,Poor person
gareebi,Poverty
garj,"Need, object, concern"
garjan,Roaring
garmi,"Heat, anger"
garmi,Type of infection
garu,Teacher
garuru,Vanity
garv,Ego
gatadi,"A bundle, saved money"
gati,Condition
gavani,Song
gavanya,Singer
gavdi,A cow
gavrava,Respect
gavu,Cow
gawar,Uncivilized
geed,Song
geed,Eye deposit
genda,Leaves of sugarcane
genda,Rhinoceros
ghad,Create
ghadi,"Watch, suitable time"
ghagaro,"Petticoat, skirt"
ghamandi,"Ego, enormous"
ghamkad,Vagabond
ghamko,Scent
ghan jungle,Thick forest
ghana,Oil mill
ghanam,Distance
ghanta,An hour
gharbar,"Hearth and home, household affairs"
ghariyanero,A family
ghas,Grass
ghas,Friction
ghas poos,Rubbish
ghasamelo,Defaced coin
ghat,Strong (wood)
ghat,"Bathing place on river bank, blade of sword, mountain"
ghat,A blow
ghatak,Murderer
ghataki,Murderous woman
ghatanastal,Place of occurrence
ghatanavali,Order of incidents
ghateeya,Deceiver
ghateeya,"Cheap, worthless"
ghati,Valley
ghatti,Grinding stone
ghav,"Wound, sore"
ghayal,"Wounded, hurt"
ghee,Ghee
gher,Circumference
gherana,"Encircled, boundary"
gherav,"Surrounded, captured"
ghisagoch,To wear out
ghisanghal,Rubbing work
ghisla,To drag
ghodi,Mare
ghodo,Horse
ghol,"Solution, mix in water"
gholara veldi,Green long creeper
ghoo gu,Owl
ghoondi,Button
ghoont,A sip
ghoor,Angry look
ghootan,Suffocation
ghora aparad,Felony
ghosala,Bird’s nest
ghot,Mix
ghreena,"Dislike, disgust"
ghudiya,Pot
ghulaganji,Red and black seed
ghungarale,Curly hair
ghunghat,Veil
ghura banna,Wheat coloured
ghuse,Introuser
ghuv,"Chapati, wheat"
gilaas,"Glass, cup"
ghuvra ginti,Counting
go,"Cow, limb power to speech"
go charyvalo,Pasture for cattle
go shala,Cow shed
goad,Sit on mother’s lap
goai,Iguana
goar,White
goari,Beautiful woman
goaro,White man
goat,Border of cloth
gobar,Cow-dung
gobar ganesh,Fool
gobi,Cauliflower
godam,Godown
godan,Property in cattle
godo,Knee
gol,Jaggery
gola,Circular ball
gola,Round
golawar,Cowherd
golmaal,"Disorder, confusion"
gonni,Wife
goonda,Don
goont,A drop
gopi,Cowherd’s wife
gorli,Sheep
got,Race collection
goti,"Small stone, children’s play, profitable business"
gu,Human excreta
guddh,"Ponch, lint"
gudiya,Doll
gugra,Small bell in ankle chain
gulab,Rose
gulab jal,Rose water
gulabi rang,Rosy cloth
gulam,"Slave, servant"
gulhar,Wild fig fruit
gum,Sorrow
gumadi,Pimple
gumdo,Swelling
gun,"Quality, talent, nature"
gun dosh,Virtue
gun gaan,Praise
gunavanth,One possessing good qualities
gund,"Gum, glue"
gundi,Ditch
gundim,—
gunegaar,"Sinner, culprit"
gungo,Dumb
gup chup,Silently
gupt,"Secret, confidential"
gussa,Anger
gutali,Seed in mango fruit
gutani,To plait hair
